"TREATMENT",".y.","group1","group2","n1","n2","statistic","df","p","p.adj","p.adj.signif"
"1","MOTILE","0","1",3,3,-0.0848188929679971,2,0.94,1,"ns"
"1","MOTILE","0","2",3,3,0.975016868949888,2,0.432,1,"ns"
"1","MOTILE","1","2",3,3,1.7084843923545,2,0.23,1,"ns"
"2","MOTILE","0","1",3,3,0.5,2,0.667,1,"ns"
"2","MOTILE","0","2",3,3,0.975016868949888,2,0.432,1,"ns"
"2","MOTILE","1","2",3,3,1.375,2,0.303,1,"ns"
"3","MOTILE","0","1",3,3,2.12408264408221,2,0.168,0.308,"ns"
"3","MOTILE","0","2",3,3,2.73974514762695,2,0.111,0.305,"ns"
"3","MOTILE","1","2",3,3,5.19615242270663,2,0.035,0.193,"ns"
"4","MOTILE","0","1",3,3,1.61039156600208,2,0.249,0.456,"ns"
"4","MOTILE","0","2",3,3,1.67748427365865,2,0.235,0.456,"ns"
"4","MOTILE","1","2",3,3,1.83532587096449,2,0.208,0.456,"ns"
