"TIME",".y.","group1","group2","n1","n2","statistic","df","p","p.adj","p.adj.signif"
1,"MOTILE","1","2",3,3,2.64575131106459,2,0.118,0.118,"ns"
1,"MOTILE","1","3",3,3,4.7,2,0.042,0.083,"ns"
1,"MOTILE","1","4",3,3,4.91353814911995,2,0.039,0.083,"ns"
1,"MOTILE","2","3",3,3,4.06138466053448,2,0.056,0.083,"ns"
1,"MOTILE","2","4",3,3,5.26965186413968,2,0.034,0.083,"ns"
1,"MOTILE","3","4",3,3,-3.03108891324554,2,0.094,0.113,"ns"
2,"MOTILE","1","3",3,3,3.98348237954329,2,0.058,0.096,"ns"
2,"MOTILE","1","4",3,3,2.8736848324284,2,0.103,0.103,"ns"
2,"MOTILE","2","3",3,3,3.98348237954329,2,0.058,0.096,"ns"
2,"MOTILE","2","4",3,3,2.8736848324284,2,0.103,0.103,"ns"
2,"MOTILE","3","4",3,3,-5.04714614515236,2,0.037,0.096,"ns"
