"TREATMENT",".y.","group1","group2","n1","n2","statistic","df","p","p.adj","p.adj.signif"
"1","PROGRESSIVE","0","1",3,3,0.794719414239026,2,0.51,0.58,"ns"
"1","PROGRESSIVE","0","2",3,3,0.74230748895809,2,0.535,0.58,"ns"
"1","PROGRESSIVE","1","2",3,3,0.654653670707977,2,0.58,0.58,"ns"
"2","PROGRESSIVE","0","1",3,3,-0.152498570332605,2,0.893,0.893,"ns"
"2","PROGRESSIVE","0","2",3,3,1.58943882847805,2,0.253,0.38,"ns"
"2","PROGRESSIVE","1","2",3,3,1.85714285714286,2,0.204,0.38,"ns"
"3","PROGRESSIVE","0","1",3,3,1.99323179108025,2,0.184,0.184,"ns"
"3","PROGRESSIVE","0","2",3,3,2.23464327650934,2,0.155,0.184,"ns"
"3","PROGRESSIVE","1","2",3,3,3.5,2,0.073,0.184,"ns"
"4","PROGRESSIVE","0","1",3,3,1.18746450155196,2,0.357,0.456,"ns"
"4","PROGRESSIVE","0","2",3,3,2.38415824271708,2,0.14,0.42,"ns"
"4","PROGRESSIVE","1","2",3,3,0.917662935482247,2,0.456,0.456,"ns"
