"TIME",".y.","group1","group2","n1","n2","statistic","df","p","p.adj","p.adj.signif"
1,"PROGRESSIVE","1","2",3,3,-1,2,0.423,0.423,"ns"
1,"PROGRESSIVE","1","3",3,3,4.33012701892219,2,0.049,0.212,"ns"
1,"PROGRESSIVE","1","4",3,3,1.51185789203691,2,0.27,0.324,"ns"
1,"PROGRESSIVE","2","3",3,3,2.81681135852371,2,0.106,0.212,"ns"
1,"PROGRESSIVE","2","4",3,3,1.88982236504614,2,0.199,0.298,"ns"
1,"PROGRESSIVE","3","4",3,3,-3.5,2,0.073,0.212,"ns"
2,"PROGRESSIVE","1","2",3,3,0.654653670707977,2,0.58,0.58,"ns"
2,"PROGRESSIVE","1","3",3,3,7.18132498717532,2,0.019,0.113,"ns"
2,"PROGRESSIVE","1","4",3,3,1.73205080756888,2,0.225,0.27,"ns"
2,"PROGRESSIVE","2","3",3,3,3.02371578407382,2,0.094,0.188,"ns"
2,"PROGRESSIVE","2","4",3,3,3.46410161513775,2,0.074,0.188,"ns"
2,"PROGRESSIVE","3","4",3,3,-2,2,0.184,0.27,"ns"
