Bovine (OF),Feline (OEV),Porcine (OEV),Dasyurid (OF),Equine (OF),Canine (OEV),Ovine (OF),Leporine (OF),intersection size
1,1,1,1,1,1,1,1,14
1,1,1,1,1,1,1,0,12
1,1,1,1,1,1,0,1,11
1,1,1,1,1,0,1,1,3
1,1,1,0,1,1,1,1,4
1,1,0,1,1,1,1,1,7
1,0,1,1,1,1,1,1,8
1,1,1,1,1,1,0,0,43
1,1,1,1,1,0,1,0,9
1,1,1,1,1,0,0,1,5
1,1,1,1,0,1,1,0,5
1,1,1,1,0,1,0,1,3
1,1,1,0,1,1,1,0,1
1,1,1,0,1,1,0,1,2
1,1,1,0,1,0,1,1,1
1,1,0,1,1,1,1,0,6
1,1,0,1,1,1,0,1,7
1,1,0,1,1,0,1,1,2
1,1,0,1,0,1,1,1,1
1,1,0,0,1,1,1,1,1
1,0,1,1,1,1,1,0,20
1,0,1,1,1,1,0,1,16
1,0,1,1,1,0,1,1,1
1,0,1,1,0,1,1,1,1
1,0,0,1,1,1,1,1,2
1,1,1,1,1,0,0,0,39
1,1,1,1,0,1,0,0,23
1,1,1,1,0,0,1,0,1
1,1,1,1,0,0,0,1,5
1,1,1,0,1,1,0,0,7
1,1,1,0,1,0,1,0,2
1,1,1,0,1,0,0,1,2
1,1,1,0,0,1,1,0,2
1,1,0,1,1,1,0,0,9
1,1,0,1,1,0,1,0,4
1,1,0,1,1,0,0,1,13
1,1,0,1,0,1,1,0,1
1,1,0,1,0,1,0,1,4
1,1,0,1,0,0,1,1,1
1,1,0,0,1,1,0,1,2
1,1,0,0,1,0,1,1,4
1,0,1,1,1,1,0,0,64
1,0,1,1,1,0,1,0,19
1,0,1,1,1,0,0,1,8
1,0,1,1,0,1,1,0,2
1,0,1,1,0,1,0,1,5
1,0,1,0,1,1,1,0,2
1,0,1,0,1,1,0,1,2
1,0,1,0,1,0,1,1,1
1,0,0,1,1,1,1,0,2
1,0,0,1,1,1,0,1,2
1,0,0,1,1,0,1,1,1
0,0,1,1,1,1,1,0,1
0,0,1,1,1,1,0,1,1
0,0,0,1,1,1,1,1,2
1,1,1,1,0,0,0,0,80
1,1,1,0,1,0,0,0,17
1,1,1,0,0,1,0,0,7
1,1,1,0,0,0,1,0,1
1,1,1,0,0,0,0,1,2
1,1,0,1,1,0,0,0,17
1,1,0,1,0,1,0,0,26
1,1,0,1,0,0,1,0,5
1,1,0,1,0,0,0,1,8
1,1,0,0,1,1,0,0,5
1,1,0,0,1,0,1,0,1
1,1,0,0,1,0,0,1,4
1,1,0,0,0,1,0,1,4
1,1,0,0,0,0,1,1,3
1,0,1,1,1,0,0,0,100
1,0,1,1,0,1,0,0,44
1,0,1,1,0,0,1,0,11
1,0,1,1,0,0,0,1,6
1,0,1,0,1,1,0,0,14
1,0,1,0,1,0,1,0,4
1,0,1,0,1,0,0,1,4
1,0,1,0,0,1,1,0,1
1,0,1,0,0,1,0,1,1
1,0,0,1,1,1,0,0,6
1,0,0,1,1,0,1,0,1
0,1,1,1,1,0,0,0,3
0,1,1,1,0,1,0,0,6
0,1,1,1,0,0,1,0,1
0,1,1,1,0,0,0,1,1
0,1,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,1
0,1,0,0,1,0,1,1,1
0,0,1,1,1,1,0,0,5
0,0,1,1,1,0,1,0,1
0,0,1,1,0,1,0,1,1
0,0,0,1,1,1,1,0,5
0,0,0,1,1,1,0,1,9
0,0,0,1,1,0,1,1,2
0,0,0,0,1,1,1,1,1
1,1,1,0,0,0,0,0,18
1,1,0,1,0,0,0,0,59
1,1,0,0,1,0,0,0,7
1,1,0,0,0,1,0,0,10
1,1,0,0,0,0,1,0,1
1,1,0,0,0,0,0,1,7
1,0,1,1,0,0,0,0,351
1,0,1,0,1,0,0,0,25
1,0,1,0,0,1,0,0,12
1,0,1,0,0,0,1,0,3
1,0,1,0,0,0,0,1,1
1,0,0,1,1,0,0,0,7
1,0,0,1,0,1,0,0,2
1,0,0,0,1,1,0,0,1
1,0,0,0,1,0,1,0,1
1,0,0,0,0,0,1,1,2
0,1,1,1,0,0,0,0,8
0,1,1,0,1,0,0,0,1
0,1,1,0,0,1,0,0,4
0,1,1,0,0,0,0,1,1
0,1,0,1,1,0,0,0,3
0,1,0,1,0,1,0,0,30
0,1,0,1,0,0,0,1,2
0,1,0,0,1,1,0,0,1
0,0,1,1,1,0,0,0,4
0,0,1,1,0,1,0,0,17
0,0,1,1,0,0,1,0,1
0,0,1,0,1,1,0,0,1
0,0,1,0,0,1,0,1,2
0,0,0,1,1,1,0,0,34
0,0,0,1,1,0,1,0,10
0,0,0,1,1,0,0,1,28
0,0,0,1,0,1,1,0,5
0,0,0,1,0,1,0,1,5
0,0,0,1,0,0,1,1,4
0,0,0,0,1,1,1,0,1
0,0,0,0,1,1,0,1,5
0,0,0,0,1,0,1,1,2
0,0,0,0,0,1,1,1,1
1,1,0,0,0,0,0,0,54
1,0,1,0,0,0,0,0,179
1,0,0,1,0,0,0,0,7
1,0,0,0,1,0,0,0,6
1,0,0,0,0,1,0,0,2
1,0,0,0,0,0,0,1,3
0,1,1,0,0,0,0,0,25
0,1,0,1,0,0,0,0,60
0,1,0,0,1,0,0,0,6
0,1,0,0,0,1,0,0,15
0,1,0,0,0,0,1,0,1
0,1,0,0,0,0,0,1,2
0,0,1,1,0,0,0,0,71
0,0,1,0,1,0,0,0,2
0,0,1,0,0,1,0,0,17
0,0,1,0,0,0,1,0,4
0,0,1,0,0,0,0,1,1
0,0,0,1,1,0,0,0,168
0,0,0,1,0,1,0,0,81
0,0,0,1,0,0,1,0,12
0,0,0,1,0,0,0,1,34
0,0,0,0,1,1,0,0,15
0,0,0,0,1,0,1,0,2
0,0,0,0,1,0,0,1,20
0,0,0,0,0,1,1,0,2
0,0,0,0,0,1,0,1,5
0,0,0,0,0,0,1,1,1
1,0,0,0,0,0,0,0,9
0,1,0,0,0,0,0,0,219
0,0,1,0,0,0,0,0,298
0,0,0,1,0,0,0,0,1056
0,0,0,0,1,0,0,0,171
0,0,0,0,0,1,0,0,222
0,0,0,0,0,0,1,0,537
0,0,0,0,0,0,0,1,74
