ONTOLOGY,ID,Description,Count,GeneList,Bg,BgList,pvalue,p.adjust,qvalue,geneID
BP,GO:0061564,axon development,25,139,379,11502,3.16E-12,7.71E-09,6.85E-09,EFNA5/NFIB/SEMA3E/ANOS1/MAP2/DCLK1/ALCAM/EPHA7/BMPR1B/ROBO1/PARD3/SEMA6A/SLIT2/FLRT2/JAK2/NCAM2/NEO1/BOC/CHN1/PTN/SEMA3D/ANK3/EPHA5/UNC5C/EPHA4
BP,GO:0007411,axon guidance,18,139,187,11502,9.27E-12,8.25E-09,7.33E-09,EFNA5/NFIB/SEMA3E/ANOS1/ALCAM/EPHA7/BMPR1B/ROBO1/SEMA6A/SLIT2/FLRT2/NEO1/BOC/CHN1/SEMA3D/EPHA5/UNC5C/EPHA4
BP,GO:0097485,neuron projection guidance,18,139,188,11502,1.01E-11,8.25E-09,7.33E-09,EFNA5/NFIB/SEMA3E/ANOS1/ALCAM/EPHA7/BMPR1B/ROBO1/SEMA6A/SLIT2/FLRT2/NEO1/BOC/CHN1/SEMA3D/EPHA5/UNC5C/EPHA4
BP,GO:0048667,cell morphogenesis involved in neuron differentiation,26,139,445,11502,1.72E-11,1.05E-08,9.32E-09,EFNA5/NFIB/SEMA3E/ANOS1/MAP2/DCLK1/ALCAM/EPHA7/BMPR1B/ROBO1/PARD3/SEMA6A/SLC1A3/SLIT2/RERE/FLRT2/PREX2/NEO1/BOC/CHN1/PTN/SEMA3D/ANK3/EPHA5/UNC5C/EPHA4
BP,GO:0007409,axonogenesis,22,139,340,11502,1.07E-10,5.22E-08,4.64E-08,EFNA5/NFIB/SEMA3E/ANOS1/MAP2/DCLK1/ALCAM/EPHA7/BMPR1B/ROBO1/PARD3/SEMA6A/SLIT2/FLRT2/NEO1/BOC/CHN1/SEMA3D/ANK3/EPHA5/UNC5C/EPHA4
BP,GO:0006935,chemotaxis,22,139,418,11502,5.26E-09,2.00E-06,1.78E-06,EFNA5/NFIB/SEMA3E/ANOS1/SMOC2/ALCAM/EPHA7/BMPR1B/ROBO1/PDGFD/SEMA6A/SLIT2/FLRT2/NEO1/BOC/CHN1/PTN/SEMA3D/EPHA5/UNC5C/EPHA4/FLT1
BP,GO:0042330,taxis,22,139,420,11502,5.74E-09,2.00E-06,1.78E-06,EFNA5/NFIB/SEMA3E/ANOS1/SMOC2/ALCAM/EPHA7/BMPR1B/ROBO1/PDGFD/SEMA6A/SLIT2/FLRT2/NEO1/BOC/CHN1/PTN/SEMA3D/EPHA5/UNC5C/EPHA4/FLT1
BP,GO:0050919,negative chemotaxis,8,139,39,11502,1.67E-08,5.08E-06,4.51E-06,SEMA3E/EPHA7/ROBO1/SEMA6A/SLIT2/FLRT2/SEMA3D/UNC5C
BP,GO:0030198,extracellular matrix organization,14,139,236,11502,9.61E-07,0.000224245,0.000199174,EGFL6/ANTXR1/GAS2/PXDN/POSTN/SMOC2/COL3A1/FLRT2/ADAMTS17/GPM6B/ADAMTSL3/COL23A1/COL8A1/MMP16
BP,GO:0043062,extracellular structure organization,14,139,237,11502,1.01E-06,0.000224245,0.000199174,EGFL6/ANTXR1/GAS2/PXDN/POSTN/SMOC2/COL3A1/FLRT2/ADAMTS17/GPM6B/ADAMTSL3/COL23A1/COL8A1/MMP16
