BOVINE OF,FELINE OEV,PORCINE OEV,DUNNART OF,EQUINE OF,CANINE OEV,SHEEP OF,RABBIT OF,HUMAN OF
"(Mahé et al., 2022)","Original reference: (Ferraz et al., 2019); List taken from (Mahé et al., 2022)","Original reference: (Laezer et al., 2020); List taken from (Mahé et al., 2022)",Hutchinson et al. 2022 (unpublished),"(Fernández-Hernández et al., 2021)","(Lee, Lira-Albarrán and Saadeldin, 2021)","(Soleilhavoup et al., 2016)","(Yu et al., 2019)","Wang et al., 2016"
n=3760 (close to ovulation),n=1511 (Filtered; follicular stage),n=1118 (Filtered; close to ovulation),n=2968 (Filtered; Non specific),n=1173 (Filtered; close to ovulation),n=1038 (unfiltered; Non specific),n=624 (Unfiltered; Non specific),n=461 (Filtered; close to ovulation) ,n=5416 (Unfiltered; follicular phase)
A1BG,A1BG,AAK1,AGPS,DYNC1H1,GRPEL1,PNPH,A1BG,A1BG
A2M,A2M,AARSD1,AHSA2P,IQGAP1,ACTR2,KAD1,ABCB6,A2M
AAK1,A2ML1,Abca2,AK7,MYH9,ELOC,GFPT1,ABHD14B,AAAS
AARSD1,AASS,Abcb1a,ANKS1A,VCP,CTSD,RAC1,ACP1,AACS
ABCE1,ABCD3,Abcc3,ARMC4,ALB ,RASEF,CSRP1,ACTB,AADAT
ABCF1,ABCE1,Abce1,ATXN2,PGM1,LOC479459,NTF2,ACTG2,AAK1
ABHD14B,ACACB,ABCF1,BOD1L1,EZR,EMC3,RB11A,ADAMTS18,AAMDC
ABI1,ACAD8,Abcf2,CAPS,FASN,,FETUA,ADIPOQ,AAMP
ABI2,ACADM,Abhd14b,CCDC187,UBA1,SDF2,MDHC,AFM,AAR2
ABR,ACADS,Abhd16a,CFAP298,HSP90AA1,PPIB,TIG1,AGR2,AARS1
ACAT1,ACADSB,Abhd17a,CFAP53,PKM,VAPB,TCPD,AGT,AARS2
ACE,ACADVL,Abhd17c,CFAP70,NPEPPS,CCT3,CRIP1,AHCY,AARSD1
ACLY,ACAT1,ABI1,CLUAP1,ENO1,MYL9,RL7A,AHNAK,AASDHPPT
ACO1,ACE,ABI2,CSTF2,ANXA1,RPL21,RS18,AHSG,AASS
ACO2,ACLY,ABR,DAW1,GFPT1,,TAGL2,AK1,AATF
ACOT11,ACO1,Acap2,DNAAF1,SELENBP1,DPP3,RS3A,AKR1B1,ABCA1
ACOT7,ACO2,acat1-a,DNAAF2,HSPA8,ACO2,S10AB,ALAD,ABCA8
ACSL4,ACSF2,Ace,DNAAF3,EEF2,CNN2,CLIC1,ALB,ABCA9
ACTA2,ACTA1,ACO1,DNAAF5,ACO1,EIF4A1,RSSA,ALDH1A1,ABCB1
ACTB,ACTA2,ACOT11,DNAH1,TKT,EIF2S1,CAPZB,ALDH1A2,ABCB6
ACTBL2,ACTB,ACOT7,DNAH5,CAP1,GLG1,HMGB1,ALDH1L1,ABCB7
ACTG1,ACTBL2,ACSL3,DNAH6,EPRS1,NAPG,RS3,ALDH9A1,ABCB8
ACTN1,ACTC1,ACSL4,DNAH7,HSPH1,SRSF2,TPPP3,ALDOA,ABCB9
ACTN4,ACTG1,ACTB,DNAI1,LDHA,HSD17B10,CERU,ALDOB,ABCC1
ACTR10,ACTG2,actc1,DNAI2,ALDH1A2,EIF3A,RL22,ALDOC,ABCC4
ACTR1A,ACTN1,ACTN4,DNALI1,FLNA,PSMD12,PEDF,ALMS1,ABCD1
ACTR1B,ACTN2,Actr10,DYNC2LI1,G6PD,CYCS,PLAK,AMBP,ABCD3
ACTR2,ACTN4,Actr1a,FBXL12,CNDP1,KRT10,CYTB,ANXA1,ABCE1
ACTR3,ACTR10,actr2-b,GDPD2,APOA1,NDUFB4,EF1D,ANXA2,ABCF1
ACTR3B,ACTR1A,Actr3,HSPB11,GAPDH,ADGRV1,AATC,ANXA3,ABCF2
ADD1,ACTR1B,ADAM10,HTRA1,CAND1,,PCBP1,ANXA4,ABCF3
ADD3,ACTR2,ADAM9,HYDIN,PGK1,BLVRB,RS19,ANXA5,ABCG2
ADGB,ACTR3,ADD3,IFT22,TF ,UBE2V2,PARK7,ANXA6,ABHD10
ADH5,ACTR3B,Adgb,IFT52,PHGDH,TUBB,PSMD2,ANXA7,ABHD11
ADIPOQ,ADCY9,ADH5,IFT57,IDH1,MAPRE1,G6PI,ANXA8,ABHD12
ADRM1,ADD1,ADRBK2,IFT74,LAP3,TUBB2A,MIPT3,APEH,ABHD14B
AFAP1L2,ADD2,ADRM1,IFT80,MDH1,PGK1,RL24,APOA1,ABHD16A
AFM,ADD3,ADSS,IFT81,PKHD1L1,RALA,RET4,APOA4,ABHD17C
AGO1,ADGB,AGO1,IFT88,VCL,RPS14,ARF4,APOC3,ABI1
AGO2,ADIPOQ,AGO2,ISYNA1,TARS1,CALR,CBR1,APOH,ABI3
AGR2,ADNP2,AGR2,KCNRG,TKFC,RDX,PSA5,APRT,ABI3BP
AGRN,AFAP1L2,Ahcyl1,KIAA1211L,UGP2,SRPRA,COPA,ATAD5,ABLIM1
AHCY,AFM,AHNAK,KIFBP,HSPA4,HNRNPA2B1,IMB1,ATP5B,ABLIM3
AHCYL1,AFMID,Aida,LGALS2,GDI1,RPS7,LV102,AZGP1,ABRAXAS2
AHCYL2,AFP,AIFM1,LOC100914901,WDR1,,TPIS,B2M,ACAA1
AHNAK,Ago1,AIM1,LOC100933649,STIP1,VPS29,TAGL,BANF1,ACAA2
AHSG,AGO2,AIMP1,LOC100934806,ACY1,MAPK1,SYWC,BDH2,ACACA
AIDA,AGO4,AIMP2,LRRC23,MTHFD1,RPL7,PEBP1,BLVRB,ACAD10
AIMP1,AGR2,AK1,LRRC6,LDHB,DDX3X,CNDP2,BOLA2B,ACAD11
AIMP2,AGRN,AK7,LSM12,PYGB,SAR1B,DDAH2,C13H1orf123,ACAD8
AK1,AHCY,AK9,MAP7,PRDX6,HDLBP,RL7,C1QA,ACAD9
AK7,AHCYL1,Akap10,MBNL2,TCP1,LOC100687259,DHDH,C1R,ACADM
AK8,AHCYL2,AKAP13,MORN1,TALDO1,DNPEP,PSA3,C1RL,ACADS
AK9,AHNAK,AKAP9,MOV10,HSPA1A,CAP1,GBLP,C3,ACADSB
AKAP10,AHSG,AKR1A1,MSI2,CLTC,DPYSL4,AL9A1,C4A,ACADVL
AKAP13,AIFM1,Akt2,MYCBPAP,AHCY,ACAT2,EF1A1,C5,ACAP2
AKAP9,AIG1,AKTIP,NBEA,CKB,MNDA,TERA,C6,ACAT1
AKR1A1,AIMP2,Alad,NME5,TYMP,VDAC1,CK070,C8A,ACAT2
AKT2,AK1,Aldh1a1,NME9,GOT1,C1QBP,F10A1,C8G,ACBD3
AKTIP,AK8,ALDH1A2,NOS1,HSP90AB1 ,LOC477072,RL11,C9,ACE
ALAD,AK9,Aldh1a3,PIGR,ALDOA,CCT2,CYBP,CA1,ACIN1
ALB,AKR1A1,ALDH3B1,PIH1D1,YWHAE,LOC100856782,PSA4,CA2,ACLY
ALDH16A1,ALB,Aldh7a1,PIH1D2,ANXA5,NPM1,ABHEB,CALB2,ACO1
ALDH1A1,ALCAM,ALDH9A1,PLB1,CCT4,ARF4,ANGT,CALD1,ACO2
