gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CORO1C	0	-0.584133328	0.337	0.62	0
WSCD2	0	-0.382301512	0.001	0.19	0
DYNLL1	0	-0.595076406	0.262	0.533	0
RPLP0	0	-0.710944526	0.911	0.989	0
HSPB8	0	-0.390258326	0.009	0.232	0
TAOK3	0	-0.331521538	0.126	0.309	0
MED13L	0	-0.586922574	0.944	0.978	0
TBX3	0	-0.488231359	0.181	0.427	0
RPL6	0	-0.580537291	0.766	0.896	0
ERP29	0	-0.325209372	0.191	0.393	0
ARPC3	0	-0.659100064	0.177	0.515	0
P2RX4	0	-0.282198345	0.062	0.242	0
DENR	0	-0.359861314	0.263	0.469	0
TMED2	0	-0.663914218	0.415	0.686	0
UBC	0	-0.779437819	0.399	0.689	0
AACS	0	0.522047912	0.487	0.21	0
LOC100933889	0	0.393908681	0.796	0.623	0
EVI5L	0	0.28246402	0.242	0.073	0
HNRNPM	0	0.442626055	0.864	0.704	0
FBN3	0	0.626509477	0.35	0.002	0
RPL18A	0	-0.709000957	0.896	0.974	0
PIK3R2	0	0.357865679	0.283	0.059	0
UBA52	0	-0.725720513	0.899	0.986	0
LOC100931111	0	-0.406106356	0.268	0.476	0
CSNK1G2	0	0.457646793	0.65	0.407	0
OAZ1	0	-0.567561426	0.259	0.557	0
SPPL2B	0	0.446622532	0.565	0.31	0
GNG7	0	0.463451605	0.733	0.575	0
RPS15	0	-0.689892407	0.886	0.978	0
SBNO2	0	-0.723161773	0.402	0.692	0
GPX4	0	-0.528128058	0.188	0.471	0
CNN2	0	-0.575604397	0.113	0.442	0
R3HDM4	0	-0.269587981	0.059	0.232	0
CFD	0	-0.948372779	0.001	0.435	0
TPM4	0	-1.575384181	0.832	0.995	0
AKAP8L	0	0.347246311	0.403	0.2	0
GATAD2A	0	0.556741561	0.901	0.728	0
MAU2	0	0.4019749	0.581	0.364	0
EEF2	0	-0.378048155	0.865	0.947	0
MAP2K2	0	-0.37390317	0.277	0.492	0
KDM4B	0	0.4908941	0.848	0.669	0
MICOS13	0	-0.37607291	0.131	0.359	0
RPL36	0	-0.623566838	0.728	0.863	0
NDUFA11	0	-0.504278081	0.176	0.434	0
MLLT1	0	0.676462823	0.697	0.353	0
C3	0	-0.2588843	0	0.121	0
NDUFB7	0	-0.541356504	0.164	0.476	0
ADGRL1	0	0.373905405	0.3	0.074	0
PRKACA	0	-0.40772516	0.118	0.377	0
CALR	0	-0.587604464	0.531	0.711	0
JUNB	0	-0.479883339	0.032	0.313	0
SPC24	0	-1.547798394	0.054	0.571	0
SLC44A2	0	0.326104291	0.313	0.111	0
CDC37	0	-0.650151388	0.189	0.527	0
