"TIME",".y.","group1","group2","n1","n2","statistic","df","p","p.adj","p.adj.signif"
1,"MOTILE","1","2",3,3,2.64575131106459,2,0.118,0.118,"ns"
1,"MOTILE","1","3",3,3,4.7,2,0.042,0.083,"ns"
1,"MOTILE","1","4",3,3,4.91353814911995,2,0.039,0.083,"ns"
1,"MOTILE","2","3",3,3,4.06138466053448,2,0.056,0.083,"ns"
1,"MOTILE","2","4",3,3,5.26965186413968,2,0.034,0.083,"ns"
1,"MOTILE","3","4",3,3,-3.03108891324554,2,0.094,0.113,"ns"
2,"MOTILE","1","3",3,3,3.98348237954329,2,0.058,0.096,"ns"
2,"MOTILE","1","4",3,3,2.8736848324284,2,0.103,0.103,"ns"
2,"MOTILE","2","3",3,3,3.98348237954329,2,0.058,0.096,"ns"
2,"MOTILE","2","4",3,3,2.8736848324284,2,0.103,0.103,"ns"
2,"MOTILE","3","4",3,3,-5.04714614515236,2,0.037,0.096,"ns"
1,"PROGRESSIVE","1","2",3,3,-1,2,0.423,0.423,"ns"
1,"PROGRESSIVE","1","3",3,3,4.33012701892219,2,0.049,0.212,"ns"
1,"PROGRESSIVE","1","4",3,3,1.51185789203691,2,0.27,0.324,"ns"
1,"PROGRESSIVE","2","3",3,3,2.81681135852371,2,0.106,0.212,"ns"
1,"PROGRESSIVE","2","4",3,3,1.88982236504614,2,0.199,0.298,"ns"
1,"PROGRESSIVE","3","4",3,3,-3.5,2,0.073,0.212,"ns"
2,"PROGRESSIVE","1","2",3,3,0.654653670707977,2,0.58,0.58,"ns"
2,"PROGRESSIVE","1","3",3,3,7.18132498717532,2,0.019,0.113,"ns"
2,"PROGRESSIVE","1","4",3,3,1.73205080756888,2,0.225,0.27,"ns"
2,"PROGRESSIVE","2","3",3,3,3.02371578407382,2,0.094,0.188,"ns"
2,"PROGRESSIVE","2","4",3,3,3.46410161513775,2,0.074,0.188,"ns"
2,"PROGRESSIVE","3","4",3,3,-2,2,0.184,0.27,"ns"
1,"RAPID","1","2",3,3,0.609994281330419,2,0.604,0.604,"ns"
1,"RAPID","1","3",3,3,3.30718913883074,2,0.08,0.23,"ns"
1,"RAPID","1","4",3,3,6.06217782649107,2,0.026,0.157,"ns"
1,"RAPID","2","3",3,3,2.19753173552584,2,0.159,0.23,"ns"
1,"RAPID","2","4",3,3,2.17662695885923,2,0.161,0.23,"ns"
1,"RAPID","3","4",3,3,-1.9414506867883,2,0.192,0.23,"ns"
2,"RAPID","1","2",3,3,-0.571428571428572,2,0.625,0.625,"ns"
2,"RAPID","1","3",3,3,3.40168025708304,2,0.077,0.153,"ns"
2,"RAPID","1","4",3,3,1.04828483672192,2,0.405,0.486,"ns"
2,"RAPID","2","3",3,3,5.85844933164302,2,0.028,0.102,"ns"
2,"RAPID","2","4",3,3,5.29150262212918,2,0.034,0.102,"ns"
2,"RAPID","3","4",3,3,-2.42857142857143,2,0.136,0.204,"ns"
1,"STATIC","1","2",3,3,-2.64575131106459,2,0.118,0.118,"ns"
1,"STATIC","1","3",3,3,-5.23722936566382,2,0.035,0.069,"ns"
1,"STATIC","1","4",3,3,-5.9648090806346,2,0.027,0.069,"ns"
1,"STATIC","2","3",3,3,-4.29796783055986,2,0.05,0.075,"ns"
1,"STATIC","2","4",3,3,-5.26965186413968,2,0.034,0.069,"ns"
1,"STATIC","3","4",3,3,3.61677772071786,2,0.069,0.082,"ns"
2,"STATIC","1","2",3,3,1,2,0.423,0.423,"ns"
2,"STATIC","1","3",3,3,-3.13829903981589,2,0.088,0.194,"ns"
2,"STATIC","1","4",3,3,-2.21880078490092,2,0.157,0.208,"ns"
2,"STATIC","2","3",3,3,-2.97638970995424,2,0.097,0.194,"ns"
2,"STATIC","2","4",3,3,-2.07688055405719,2,0.173,0.208,"ns"
2,"STATIC","3","4",3,3,3.36269122990683,2,0.078,0.194,"ns"
1,"AREA","1","2",3,3,-2.27195581607298,2,0.151,0.336,"ns"
1,"AREA","1","3",3,3,1.28293348361243,2,0.328,0.394,"ns"
1,"AREA","1","4",3,3,-0.499876771409099,2,0.667,0.667,"ns"
1,"AREA","2","3",3,3,3.40005373441171,2,0.077,0.336,"ns"
1,"AREA","2","4",3,3,2.12298567434006,2,0.168,0.336,"ns"
1,"AREA","3","4",3,3,-1.52530083996718,2,0.267,0.394,"ns"
2,"AREA","1","2",3,3,0.0964226355551293,2,0.932,0.932,"ns"
2,"AREA","1","3",3,3,3.52669979882969,2,0.072,0.215,"ns"
2,"AREA","1","4",3,3,-0.924715414656671,2,0.453,0.544,"ns"
2,"AREA","2","3",3,3,2.28347000068638,2,0.15,0.225,"ns"
2,"AREA","2","4",3,3,-22.2279853638005,2,0.002,0.012,"*"
2,"AREA","3","4",3,3,-2.70865678338343,2,0.114,0.225,"ns"
