BOVINE OF,FELINE OEV,PORCINE OEV,DUNNART OF,EQUINE OF,CANINE OEV,SHEEP OF,RABBIT OF,HUMAN OF
A1BG,A1BG,AAK1,A2M,A1BG,AARS,SEPT2,A1BG,A1BG
A2M,A2M,AARSD1,AACS,A2M,AASDHPPT,SEPT7,ABCB6,A2M
AAK1,A2ML1,Abca2,AAK1,A2M,ACACB,2AAA,ABHD14B,AAAS
AARSD1,AASS,Abcb1a,AAMDC,AAMDC,ACADM,6PGD,ACP1,AACS
ABCE1,ABCD3,Abcc3,AAMP,AAMDC,ACADVL,6PGL,ACTB,AADAT
ABCF1,ABCE1,Abce1,AARS1,AARS1,ACADVL,A1AG,ACTG2,AAK1
ABHD14B,ACACB,ABCF1,ABCB6,AASDHPPT,ACADVL,A1AT,ADAMTS18,AAMDC
ABI1,ACAD8,Abcf2,ABCB7,ABHD14B,ACAT1,A1BG,ADIPOQ,AAMP
ABI2,ACADM,Abhd14b,ABCD3,ABI1,ACAT2,A2AP,AFM,AAR2
ABR,ACADS,Abhd16a,ABCE1,ACAT2,ACAT2,A2MG,AGR2,AARS1
ACAT1,ACADSB,Abhd17a,ABCF1,ACLY,ACAT2,AATC,AGT,AARS2
ACE,ACADVL,Abhd17c,ABCF3,ACO1,ACLY,ABHEB,AHCY,AARSD1
ACLY,ACAT1,ABI1,ABCG2,ACOT4,ACLY,ABRAL,AHNAK,AASDHPPT
ACO1,ACE,ABI2,ABHD10,ACP1,ACO2,ACBP,AHSG,AASS
ACO2,ACLY,ABR,ABHD11,ACTB ,ACO2,ACLY,AK1,AATF
ACOT11,ACO1,Acap2,ABHD12,ACTBL2,ACO2,ACOC,AKR1B1,ABCA1
ACOT7,ACO2,acat1-a,ABHD14B,ACTC1,ACSS1,ACPH,ALAD,ABCA8
ACSL4,ACSF2,Ace,ABI1,ACTG1,ACTA1,ACSA,ALB,ABCA9
ACTA2,ACTA1,ACO1,ABR,ACTL6A,ACTC1,ACTBL,ALDH1A1,ABCB1
ACTB,ACTA2,ACOT11,ABRAXAS2,ACTN2,ACTC1,ACTC,ALDH1A2,ABCB6
ACTBL2,ACTB,ACOT7,ACAA1,ACTN4,ACTC1,ACTG,ALDH1L1,ABCB7
ACTG1,ACTBL2,ACSL3,ACAA2,ACTR1A,ACTG1,ACTN1,ALDH9A1,ABCB8
ACTN1,ACTC1,ACSL4,ACACA,ACTR1B,ACTG1,ACTN4,ALDOA,ABCB9
ACTN4,ACTG1,ACTB,ACAD8,ACTR2,ACTG1,ACTZ,ALDOB,ABCC1
ACTR10,ACTG2,actc1,ACADL,ACTR3,ACTN1,ADHX,ALDOC,ABCC4
ACTR1A,ACTN1,ACTN4,ACADM,ACY1,ACTN1,ADRM1,ALMS1,ABCD1
ACTR1B,ACTN2,Actr10,ACADS,ADH5,ACTN1,ADSV,AMBP,ABCD3
ACTR2,ACTN4,Actr1a,ACADSB,ADIRF,ACTN4,AHNK,ANXA1,ABCE1
ACTR3,ACTR10,actr2-b,ACADVL,ADK,ACTN4,AIMP1,ANXA2,ABCF1
ACTR3B,ACTR1A,Actr3,ACAP2,ADPRH,ACTN4,AK1A1,ANXA3,ABCF2
ADD1,ACTR1B,ADAM10,ACAT1,ADPRS,ACTR1A,AL1A1,ANXA4,ABCF3
ADD3,ACTR2,ADAM9,ACAT2,ADSS2,ACTR1A,AL1A2,ANXA5,ABCG2
ADGB,ACTR3,ADD3,ACBD6,AFM,ACTR1A,AL7A1,ANXA6,ABHD10
ADH5,ACTR3B,Adgb,ACLY,AFMID,ACTR2,AL9A1,ANXA7,ABHD11
ADIPOQ,ADCY9,ADH5,ACO1,AGL,ACTR2,ALBU,ANXA8,ABHD12
ADRM1,ADD1,ADRBK2,ACO2,AGT,ACTR2,ALBU,APEH,ABHD14B
AFAP1L2,ADD2,ADRM1,ACOT7,AHCY,ACTR3,ALDOA,APOA1,ABHD16A
AFM,ADD3,ADSS,ACOT9,AHCYL1,ACTR3,ALDOC,APOA4,ABHD17C
AGO1,ADGB,AGO1,ACOX1,AHNAK,ACTR3,ALDR,APOC3,ABI1
AGO2,ADIPOQ,AGO2,ACP1,AHSA1,ADCY10,ALPK2,APOH,ABI3
AGR2,ADNP2,AGR2,ACP1.1,AHSG,ADGRV1,AMPB,APRT,ABI3BP
AGRN,AFAP1L2,Ahcyl1,ACP2,AIMP1,ADSS,AMPL,ATAD5,ABLIM1
AHCY,AFM,AHNAK,ACP3,AIMP2,AGPS,AN32A,ATP5B,ABLIM3
