Bovine_OF,Bovine_OEV,Feline_OEV,Porcine_OEV,Dunnart_OF,Equine_OF,Human_OF,Canine_OF
A1BG,ANXA2,A1BG,AAK1,AGPS,DYNC1H1,MYH9,E2RAZ6
A2M,ANXA1,A2M,AARSD1,AHSA2P,IQGAP1,TKT,F1PTS8
AAK1,ANXA4,A2ML1,Abca2,AK7,MYH9,VCP,F1PLA1
AARSD1,ANXA5,AASS,Abcb1a,ANKS1A,VCP,AHCY,E2QXY7
ABCE1,PRSS3,ABCD3,Abcc3,ARMC4,ALB ,AKR1A1,E2R129
ABCF1,CD109,ABCE1,Abce1,ATXN2,PGM1,TBCA,Q4LAL9
ABHD14B,MYH9,ACACB,ABCF1,BOD1L1,EZR,CSRP1,E2RKF3
ABI1,TUBA1A,ACAD8,Abcf2,CAPS,FASN,NME2,E2RL88
ABI2,TUBB4B,ACADM,Abhd14b,CCDC187,UBA1,GDI2,E2REA4
ABR,OVGP1,ACADS,Abhd16a,CFAP298,HSP90AA1,GPI,E2RMQ3
ACAT1,CLIC1,ACADSB,Abhd17a,CFAP53,PKM,RAN,J9P980
ACE,HSPA1A,ACADVL,Abhd17c,CFAP70,NPEPPS,SLC9A3R1,J9P9R6
ACLY,UPK3BL,ACAT1,ABI1,CLUAP1,ENO1,GLO1,J9P309
ACO1,MUC16,ACE,ABI2,CSTF2,ANXA1,ARHGDIA,J9NVL9
ACO2,ENPP3,ACLY,ABR,DAW1,GFPT1,HNRNPD,E2RRB7
ACOT11,EEF1A1,ACO1,Acap2,DNAAF1,SELENBP1,TUBB+A:B,F1PIG2
ACOT7,ANXA8,ACO2,acat1-a,DNAAF2,HSPA8,GALM,E2RB79
ACSL4,EZR,ACSF2,Ace,DNAAF3,EEF2,MTPN,F1PRS3
ACTA2,CD9,ACTA1,ACO1,DNAAF5,ACO1,YWHAE,F1P634
ACTB,ANXA11,ACTA2,ACOT11,DNAH1,TKT,CNDP2,F1PWM2
ACTBL2,GAPDH,ACTB,ACOT7,DNAH5,CAP1,UBA1,E2RCY1
ACTG1,ATP1A1,ACTBL2,ACSL3,DNAH6,EPRS1,CLIC1,F1PG08
ACTN1,FLNB,ACTC1,ACSL4,DNAH7,HSPH1,ACTN4,J9P7S4
ACTN4,UBC,ACTG1,ACTB,DNAI1,LDHA,EEF2,J9P4M5
ACTR10,HSP90AA1,ACTG2,actc1,DNAI2,ALDH1A2,S100A11,E2RL90
ACTR1A,CLTC,ACTN1,ACTN4,DNALI1,FLNA,TALDO1,E2RCY8
ACTR1B,CDC42,ACTN2,Actr10,DYNC2LI1,G6PD,ANXA1,E2R5Q1
ACTR2,ALB,ACTN4,Actr1a,FBXL12,CNDP1,CLF1,J9NZK4
ACTR3,ALDH1A1,ACTR10,actr2-b,GDPD2,APOA1,PGAM1,F1PK66
ACTR3B,CFL1,ACTR1A,Actr3,HSPB11,GAPDH,EZR,E2QS43
ADD1,ENO1,ACTR1B,ADAM10,HTRA1,CAND1,ASRGL1,F1P895
ADD3,S100A11,ACTR2,ADAM9,HYDIN,PGK1,CALM1,F1Q444
ADGB,DMBT1,ACTR3,ADD3,IFT22,TF ,AK1A1,E2RDB9
ADH5,SLC9A3R1,ACTR3B,Adgb,IFT52,PHGDH,PTMA,E2RL17
ADIPOQ,PPIA,ADCY9,ADH5,IFT57,IDH1,MDH1,F6V9R9
ADRM1,RAB5C,ADD1,ADRBK2,IFT74,LAP3,CKB,E2R561
AFAP1L2,NT5E,ADD2,ADRM1,IFT80,MDH1,LGALS3,E2RDB2
AFM,HSPB1,ADD3,ADSS,IFT81,PKHD1L1,TUBA1A,E2R9F5
AGO1,PKM,ADGB,AGO1,IFT88,VCL,PFN1,E2RSR5
AGO2,LGALS3,ADIPOQ,AGO2,ISYNA1,TARS1,PRDX5,J9JHD9
AGR2,AHNAK,ADNP2,AGR2,KCNRG,TKFC,HMGB1,P00011
AGRN,EEF2,AFAP1L2,Ahcyl1,KIAA1211L,UGP2,ANXA5,F1PYU9
AHCY,DYNC1H1,AFM,AHNAK,KIFBP,HSPA4,ALDH1A1,F1P6N7
AHCYL1,CPNE3,AFMID,Aida,LGALS2,GDI1,HSPA8,F1P841
AHCYL2,VCP,AFP,AIFM1,LOC100914901,WDR1,ALDOA,F1PXL3
AHNAK,STOM,Ago1,AIM1,LOC100933649,STIP1,HSPA1A,F1PVA2
AHSG,GNB2,AGO2,AIMP1,LOC100934806,ACY1,CYTB,F1Q286
AIDA,HSPA8,AGO4,AIMP2,LRRC23,MTHFD1,SELENBP1,E2QVU9
AIMP1,GNAI2,AGR2,AK1,LRRC6,LDHB,HSP90AA1,E2RJ31
AIMP2,CAPN5,AGRN,AK7,LSM12,PYGB,PGK1,J9NY44
AK1,PEBP1,AHCY,AK9,MAP7,PRDX6,PARK7,E2QSF4
AK7,ATIC,AHCYL1,Akap10,MBNL2,TCP1,ENO1,F6Y5Z5
AK8,MUC4,AHCYL2,AKAP13,MORN1,TALDO1,PKM,F1PMG8
AK9,ALDOA,AHNAK,AKAP9,MOV10,HSPA1A,YWHAZ,E2RFJ7
AKAP10,PDIA3,AHSG,AKR1A1,MSI2,CLTC,TUBB4B,E2RRC9
AKAP13,MYO6,AIFM1,Akt2,MYCBPAP,AHCY,PRDX6,F6Y3Y5
AKAP9,TAGLN2,AIG1,AKTIP,NBEA,CKB,GSTP1,J9NX28
AKR1A1,UPK1B,AIMP2,Alad,NME5,TYMP,PRDX1,J9NVG6
AKT2,BASP1,AK1,Aldh1a1,NME9,GOT1,TXN,F1PR41
AKTIP,RPL4,AK8,ALDH1A2,NOS1,HSP90AB1 ,TPI1,F6UYJ9
ALAD,MYH14,AK9,Aldh1a3,PIGR,ALDOA,PEBP1,E2RRC6
ALB,GNAQ,AKR1A1,ALDH3B1,PIH1D1,YWHAE,SOD1,F1PNM2
ALDH16A1,RAC1,ALB,Aldh7a1,PIH1D2,ANXA5,TPPP3,J9P788
ALDH1A1,MSN,ALCAM,ALDH9A1,PLB1,CCT4,PPIA,F1Q1K6
ALDH1A2,MSLN,ALDH16A1,ALDOA,PRMT9,PAICS,GAPDH,E2R8A8
ALDH1A3,PGK1,ALDH18A1,ALDOC,ROPN1L,AHNAK,ACTB,F1PXU1
ALDH2,LGALS1,ALDH1A1,ALG2,RPAP3,PPP2R1A,CAPS,J9NWY1
ALDH3A2,TPI1,ALDH1A2,ALPL,RSPH4A,AGL,GSN,F1PIS0
ALDH3B1,FN1,ALDH1A3,ALS2,RSPH9,FKBP4,CFB,E2R8A2
ALDH7A1,PRDX6,ALDH1B1,AMPD3,RUVBL1,PGD,CFH,F1PGL4
ALDH9A1,GSTP1,ALDH1L1,AMY2B,RUVBL2,EEF1A1 ,APOC3,E2R2N2
ALDOA,FLNA,ALDH1L2,ANAPC1,SCAMP1,TPPP3,CFI,F1Q0Z2
ALDOB,FLNC,ALDH2,ANAPC4,SPA17,HBB ,FN1,E2RRQ7
ALDOC,DSTN,aldh3a1,ANAPC5,SPAG1,ATIC,C4BPA,Q5WR10
ALPL,GNAS,ALDH3A2,ANGPTL2,STK33,NASP,OVGP1,E2RRQ3
ALS2,PDCD6IP,ALDH3B1,Ank2,TBPL1,THOP1,ANXA2,F1PBS6
ALYREF,HSPA5,ALDH4A1,Ank3,TCTE1,XPNPEP1,QOR,E2RET1
AMY2B,CLU,ALDH5A1,ANKFY1,TOMM34,YWHAZ,EF1A1,J9P1N0
ANAPC1,FASN,ALDH6A1,ANKHD1,TTC12,ENSECAG00000000612,F10A1,E2RLU9
ANK3,PGAM4,ALDH7A1,ANKRD28,TTC21A,CLIC1,TTHY,E2RPY9
ANKFY1,PDLIM1,ALDH9A1,ANKRD42,TTC30B,SERPINB6,PLMN,F1PBJ4
ANKHD1,TKT,ALDOA,ANKRD44,UBAP2,WARS1,STIP1,F1PVI2
ANKRD28,HSP90AB1,ALDOB,Anks1a,UBXN11,CLU ,ROA2,E2QZ50
ANKRD44,ITGB1,ALDOC,ANO6,WDR78,GSTM3,LG3BP,F1Q088
ANKS1A,PRDX2,ALPL,ANXA1,WNK4,PRDX1,DDAH1,F1Q466
ANO6,CPNE1,ALS2,ANXA11,A2M,SNCG,IF5A1,E2QWV5
ANPEP,IQGAP1,ALYREF,ANXA2,AACS,DARS1,HS90B,F1PC72
ANXA1,RAP1B,AMOTL1,ANXA4,AAK1,PEBP1,MYL6,F1PR95
ANXA11,GSN,AMOTL2,ANXA5,AAMDC,GPD1,HSPB1,F6V1W9
ANXA2,GNA11,AMY2B,ANXA6,AAMP,SERPINB1 ,GLOD4,E2RIV1
ANXA3,RPL6,ANO7,ANXA7,AARS1,ENSECAG00000009766,SPRL1,F6V0D8
ANXA4,EHD1,ANXA1,AP1B1,ABCB6,CCT8,,E2QYZ0
ANXA5,HSP90B1,ANXA11,Ap1g1,ABCB7,IPO5,,E2RCL4
ANXA6,MIF,ANXA2,AP1G2,ABCD3,KPNB1,,J9NS87
ANXA7,GPRC5C,ANXA3,AP1M1,ABCE1,CAPN1,,E2RTB1
ANXA8,CDK14,ANXA4,AP1M2,ABCF1,CCT3,,J9NS83
AP1B1,BAIAP2,ANXA5,AP1S1,ABCF3,TTC38,,J9P5N6
AP1G1,CD46,ANXA6,AP2A1,ABCG2,TPI1,,P38377
AP1G2,RPL7L1,ANXA7,AP2A2,ABHD10,CCT2,,E2R8N9
AP1M1,MUC1,AP1B1,AP2B1,ABHD11,DCXR,,F1PBT3
AP1M2,RPL7A,AP1G1,AP2M1,ABHD12,FAH,,J9P2X4
AP1S1,ACTBL2,ap1g2,AP2S1,ABHD14B,CAPN2,,F6PME1
AP2A1,PDLIM5,AP1M2,AP3B1,ABI1,CAPS,,E2R4I1
AP2A2,CRIP2,AP2A1,AP3D1,ABR,GDI2,,F1PY05
AP2B1,YWHAZ,AP2A2,Ap3m1,ABRAXAS2,SMS,,F1PLR0
AP2M1,PI4KA,AP2B1,APIP,ACAA1,HCFC2,,F1PLR5
AP3B1,RPL18,AP2M1,APMAP,ACAA2,PSME1,,F6X6K8
AP3D1,RPL3,AP2S1,APOB,ACACA,AKR1B1,,E2RGQ5
AP3M1,RPL12,AP3S1,Appl1,ACAD8,EEF1G ,,E2QZG2
AP3S1,ANXA3,APEX1,APPL2,ACADL,A1BG,,A0A0B4J1A2
APEX1,RAB7A,APLF,ARAF,ACADM,DPP3,,E2RKQ6
APIP,EPCAM,APOA1,Arcn1,ACADS,MYH10,,J9P3G1
