"Name","HMDB","KEGG"
"ADP","HMDB0001341","C00008"
"cis-Aconitic acid","HMDB0000072","C00417"
"Citrulline","HMDB0000904","C00327"
"Coenzyme A","HMDB0001423","C00010"
"Creatinine","HMDB0000562","C00791"
"D-2-Hydroxyglutaric acid","HMDB0000606","C01087"
"Deoxycytidine","HMDB0000014","C00881"
"Deoxyuridine","HMDB0000012","C00526"
"D-Ribose 5-phosphate","HMDB0001548","C00117"
"Fumaric acid","HMDB0000134","C00122"
"Glycerol","HMDB0000131","C00116"
"Glycerophosphocholine","HMDB0000086","C00670"
"Glycine","HMDB0000123","C00037"
"Guanosine monophosphate","HMDB0001397","C00144"
"Inosine","HMDB0000195","C00294"
"L-Arginine","HMDB0000517","C00062"
"L-Cystathionine","HMDB0000099","C02291"
"L-Glutamic acid","HMDB0000148","C00025"
"L-Glutamine","HMDB0000641","C00064"
"L-Leucine","HMDB0000687","C00123"
"L-Lysine","HMDB0000182","C00047"
"L-Methionine","HMDB0000696","C00073"
"L-Proline","HMDB0000162","C00148"
"L-Valine","HMDB0000883","C00183"
"Myristic acid","HMDB0000806","C06424"
"Orotic acid","HMDB0000226","C00295"
"Oxoglutaric acid","HMDB0000208","C00026"
"PA(16:0/16:0)","HMDB0000674","C00416"
"Phosphoenolpyruvic acid","HMDB0000263","C00074"
"Phthalic acid","HMDB0002107","C01606"
"Taurine","HMDB0000251","C00245"
"Uridine 5'-monophosphate","HMDB0000288","C00105"
"Uridine diphosphate glucose","HMDB0000286","C00029"
"3-Methylhistidine","HMDB0000479","C01152"
"3-Phosphoglyceric acid","HMDB0000807","C00597"
"Adenosine triphosphate","HMDB0000538","C00002"
"Citric acid","HMDB0000094","C00158"
"FAD","HMDB0001248","C00016"
"Gamma-Aminobutyric acid","HMDB0000112","C00334"
"Glycerol 3-phosphate","HMDB0000126","C00093"
"Guanosine diphosphate mannose","HMDB0001163","C00096"
"L-Asparagine","HMDB0000168","C00152"
"L-Aspartic acid","HMDB0000191","C00049"
"L-Isoleucine","HMDB0000172","C00407"
"L-Malic acid","HMDB0000156","C00149"
"L-Serine","HMDB0000187","C00065"
"L-Tyrosine","HMDB0000158","C00082"
"N-Acetylglutamine","HMDB0006029","NA"
"N-Acetylneuraminic acid","HMDB0000230","C19910"
"N-Alpha-acetyllysine","HMDB0000446","C12989   "
"Orotidine","HMDB0000788","C01103"
"Palmitic acid","HMDB0000220","C00249"
"PC(14:0/14:0)","HMDB0007866","C00157"
"PS(14:0/14:0)","HMDB0012330","NA"
"Succinic acid","HMDB0000254","C00042"
"Sucrose","HMDB0000258","C00089"
"Taurocholic acid","HMDB0000036","C05122"
"Thymine","HMDB0000262","C00178"
"Uridine diphosphate-N-acetylglucosamine","HMDB0000290","C00043"
"Adenosine monophosphate","HMDB0000045","C00020"
"Aminoadipic acid","HMDB0000510","C00956"
"Betaine","HMDB0000043","C00719"
"Cytidine monophosphate","HMDB0000095","C00055"
"D-Fructose","HMDB0000660","C02336"
"Fructose 6-phosphate","HMDB0000124","C00085"
"Guanosine","HMDB0000133","C00387"
"L-Alanine","HMDB0000161","C00041"
"Maleic acid","HMDB0000176","C00122"
"Ribitol","HMDB0000508","C00474"
