"gene","log2fc"
"DYNLL1",-0.595076406
"CDC37",-0.650151388
"TGIF1",-0.344880577
"SERPINB10",-1.375880395
"OTULINL",-0.597445134
"DKK1",-0.802050054
"DNAJC9",-0.469886276
"GLUD1",-0.970190744
"ARPC5L",-0.484578846
"SPARC",-0.706545921
"IRF1",-0.332411136
"CRIP2",-0.424279543
"YWHAB",-0.469181809
"DSTN",-1.30258622
"CAPG",-0.366198915
"SERPINE2",-0.953769242
"SOD1",-0.465963832
"HSPA8",-0.450178004
"HMGB1",-0.870036211
"TAGLN",-2.279618673
"REXO2",-0.424067543
"BAX",-0.477742915
"FTL",-1.428244197
"GNG12",-0.752318853
"ARPC5",-0.639008463
"RNASET2",-0.289569955
"FLOT1",-0.25293646
"PFN1",-0.843400921
"PEA15",-0.362898075
"GAPDH",-0.58624771
"NUB1",-0.357073765
"ITGB1",-1.136724994
"STEAP1",-0.506514035
"UCHL1",-0.425141261
"SLC3A2",-0.390815083
"CCND1",-0.760297744
"PDIA3",-0.351375797
"TMEM109",-0.272471651
"PHLDA3",-0.301293235
"TKT",-0.362381559
"CBX3",-0.360577456
"ID1",-0.322295106
"SNRPE",-0.369680253
"UBE2B",-0.298954887
"RPS4X",-0.326116699
"MCM6",-0.320397526
"PCNA",-0.322429436
"RWDD4",-0.278323608
"ME1",-0.34808157
"PDLIM7",-0.273111818
"PSIP1",-0.380557742
"PSMA7",-0.371994006
"SLC23A2",-0.298982176
"YBX3",-0.330852677
"EIF4EBP1",-0.292355827
"ZNF644",-0.30845896
"ATP5IF1",-0.309261005
"EEF1D",-0.258515651
"GLS",-0.284557459
"HSP90AB1",-0.258579521
"RIN2",-0.279606555
"SULF1",-0.284326035
"IGFBP2",-0.405042968
