p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
8.12870954520774e-56	2.52912125635678	0.646	0.167	2.34277537802432e-51	Cluster 1	ENSMODG00000014496
3.01019863879585e-44	2.42200859466435	0.568	0.151	8.67569349687352e-40	Cluster 1	ENSMODG00000032978
5.99149520577593e-59	2.31847893318706	0.745	0.273	1.72680883325668e-54	Cluster 1	ENSMODG00000029712
9.32417476981583e-52	2.26910101424667	0.624	0.149	2.68732041040862e-47	Cluster 1	ENSMODG00000011150
9.55954392103017e-51	2.11754333804018	0.972	0.913	2.75515615348011e-46	Cluster 1	ENSMODG00000017682
1.24879255161879e-08	1.93047223719903	0.904	0.915	0.00035991450130205	Cluster 1	ENSMODG00000015524
8.19863055959366e-33	1.9283446240963	0.54	0.204	2.36292731358049e-28	Cluster 1	ENSMODG00000035160
2.53883932070478e-30	1.88601072290947	0.816	0.661	7.31718880620325e-26	Cluster 1	ENSMODG00000017627
1.01783132739221e-53	1.79969084102885	0.621	0.138	2.93349166867709e-49	Cluster 1	ENSMODG00000033788
2.357008482307e-37	1.70495849167397	0.669	0.323	6.793134146857e-33	Cluster 1	ENSMODG00000014342
8.98087071571356e-49	1.70106359131252	0.992	0.931	2.58837674897581e-44	Cluster 1	ENSMODG00000007498
2.62026546199917e-36	1.66399814064555	0.5	0.133	7.55186708802779e-32	Cluster 1	ENSMODG00000025483
5.74114966414302e-32	1.63734685171378	0.967	0.97	1.65465674470266e-27	Cluster 1	ENSMODG00000024000
1.0494721499406e-36	1.56945889489631	0.472	0.101	3.02468368334381e-32	Cluster 1	ENSMODG00000028279
1.65638641397318e-37	1.55705974470692	0.503	0.128	4.77387128371209e-33	Cluster 1	ENSMODG00000018795
4.10598078319452e-30	1.53635757357779	0.654	0.358	1.18338472152449e-25	Cluster 1	ENSMODG00000015622
1.63545986483216e-23	1.52130643412401	0.321	0.067	4.71355887643278e-19	Cluster 1	ENSMODG00000036026
4.46489152562388e-38	1.4953956815712	1	1	1.28682638660006e-33	Cluster 1	ENSMODG00000017458
8.40589575975709e-39	1.47861085071671	0.949	0.865	2.42266321691959e-34	Cluster 1	ENSMODG00000005463
4.78878152735526e-49	1.46227161960916	0.902	0.734	1.38017472399906e-44	Cluster 1	ENSMODG00000023221
4.66228482023131e-59	1.44281110644245	0.995	0.984	1.34371710803887e-54	Cluster 1	ENSMODG00000016685
1.42343744551757e-59	1.42992449200676	0.747	0.291	4.10248906172618e-55	Cluster 1	ENSMODG00000007711
6.22793313048048e-44	1.40683901451076	0.386	0.009	1.79495260753578e-39	Cluster 1	ENSMODG00000034092
2.39078908264346e-43	1.33581376458365	0.533	0.126	6.89049321508672e-39	Cluster 1	ENSMODG00000028422
9.81714484193855e-50	1.3323852275087	0.97	0.894	2.82939931489511e-45	Cluster 1	ENSMODG00000000397
2.66901723131221e-15	1.32239844020897	1	1	7.69237456236493e-11	Cluster 1	ENSMODG00000007930
5.27013203334738e-21	1.30784430701003	0.364	0.115	1.51890475333105e-16	Cluster 1	ENSMODG00000024002
3.62134692110323e-40	1.29059788380001	0.46	0.08	1.04370839613116e-35	Cluster 1	ENSMODG00000027953
2.33139048745987e-18	1.24846113065559	0.755	0.603	6.7193005239081e-14	Cluster 1	ENSMODG00000014484
8.03727187824852e-35	1.23569091942669	0.515	0.147	2.31642212803001e-30	Cluster 1	ENSMODG00000011523
4.15760322014528e-51	1.21825392476087	0.614	0.163	1.19826282407807e-46	Cluster 1	ENSMODG00000023795
5.42380307993408e-47	1.21702589330044	0.975	0.853	1.5631942856678e-42	Cluster 1	ENSMODG00000017929
1.31056650184125e-41	1.21194586976735	0.907	0.732	3.77718371495665e-37	Cluster 1	ENSMODG00000023222
7.33783898778122e-29	1.20376946005077	0.593	0.326	2.11483857466843e-24	Cluster 1	ENSMODG00000029725
3.13240055419511e-28	1.20313990217758	0.904	0.856	9.02789163724573e-24	Cluster 1	ENSMODG00000025494
1.19709318810019e-45	1.17476544299053	0.465	0.053	3.45014227742357e-41	Cluster 1	ENSMODG00000033245
1.12023620144906e-36	1.1653524868706	1	1	3.22863275619635e-32	Cluster 1	ENSMODG00000025248
2.52332548886153e-50	1.14417394419654	0.775	0.422	7.2724763914478e-46	Cluster 1	ENSMODG00000011870
1.0309214311764e-20	1.13271929205723	0.437	0.181	2.9712186567935e-16	Cluster 1	ENSMODG00000003648
2.01198055939039e-08	1.12695667152488	0.275	0.142	0.000579872917021905	Cluster 1	ENSMODG00000029846
1.79564446236351e-75	1.12375935014164	1	0.998	5.17522690497788e-71	Cluster 1	ENSMODG00000025562
4.0399395635324e-25	1.12357558707679	0.28	0.03	1.16435098160567e-20	Cluster 1	ENSMODG00000034448
2.97710278788678e-14	1.11302292828058	0.773	0.677	8.58030794496848e-10	Cluster 1	ENSMODG00000001305
1.44084374548476e-37	1.10533170747363	0.907	0.858	4.15265575886163e-33	Cluster 1	ENSMODG00000007777
1.66053126403999e-44	1.10292186170347	0.581	0.161	4.78581715608965e-40	Cluster 1	ENSMODG00000012101
6.67257947690206e-35	1.10285021835081	0.492	0.126	1.92310413103794e-30	Cluster 1	ENSMODG00000024929
3.31728976787059e-20	1.1022123502337	0.838	0.725	9.56076083997984e-16	Cluster 1	ENSMODG00000025202
1.40177172859626e-16	1.07678437087688	0.513	0.3	4.04004629898729e-12	Cluster 1	ENSMODG00000001314
2.59016733999895e-28	1.05812998857057	0.399	0.096	7.46512129061096e-24	Cluster 1	ENSMODG00000008648
2.16720929021597e-09	1.05577841472109	0.992	0.998	6.24611389533144e-05	Cluster 1	ENSMODG00000004493
2.23738506632846e-22	1.04189762109192	0.566	0.31	6.44836749966525e-18	Cluster 1	ENSMODG00000021430
2.48586001882553e-46	1.04117819302218	0.965	0.858	7.16449716025705e-42	Cluster 1	ENSMODG00000011608
9.06014537953957e-08	1.03858647969069	0.604	0.5	0.0026112244998371	Cluster 1	ENSMODG00000027548
9.8888914175538e-40	1.01470327533526	0.525	0.135	2.85007739545318e-35	Cluster 1	ENSMODG00000014608
1.12870824707031e-47	1.01445589440562	0.876	0.718	3.25305003888135e-43	Cluster 1	ENSMODG00000020464
2.39909491934823e-08	1.00904824833758	0.735	0.663	0.000691443146705352	Cluster 1	ENSMODG00000028206
1.64575955373862e-37	0.995768214787416	0.482	0.112	4.74324360983009e-33	Cluster 1	ENSMODG00000025037
1.07877384513943e-06	0.986053472651235	0.652	0.635	0.0310913409907636	Cluster 1	ENSMODG00000013351
5.55137679426604e-23	0.975108457226157	0.98	0.979	1.59996230587541e-18	Cluster 1	ENSMODG00000004340
3.21049337295888e-19	0.972942335343964	0.997	1	9.25296295020478e-15	Cluster 1	ENSMODG00000013364
6.41063106506598e-36	0.971808815495067	0.318	0.005	1.84760797926267e-31	Cluster 1	ENSMODG00000033707
1.40952755072307e-21	0.969194010803134	0.71	0.514	4.06239935393895e-17	Cluster 1	ENSMODG00000028786
2.3937692899646e-27	0.965774322012186	1	1	6.89908247060698e-23	Cluster 1	ENSMODG00000007676
1.23295681015576e-16	0.964318076225344	0.975	0.979	3.55350482254992e-12	Cluster 1	ENSMODG00000005484
2.47967334536385e-13	0.948888754770863	0.492	0.3	7.14666654867316e-09	Cluster 1	ENSMODG00000016460
1.7358169715677e-39	0.942672722292375	0.371	0.018	5.00279809375527e-35	Cluster 1	ENSMODG00000034375
5.42012173929857e-36	0.941431320379308	0.967	1	1.56213328648324e-31	Cluster 1	ENSMODG00000013504
3.02635218575914e-33	0.941399674476079	0.992	0.986	8.72224963457641e-29	Cluster 1	ENSMODG00000001445
2.94756081451747e-25	0.939343027321052	0.328	0.06	8.4951650235208e-21	Cluster 1	ENSMODG00000005097
4.72810648882089e-14	0.9378151139621	0.899	0.849	1.36268757114307e-09	Cluster 1	ENSMODG00000004920
2.08958454816356e-59	0.936486352493861	0.682	0.197	6.0223916262622e-55	Cluster 1	ENSMODG00000014585
3.02581527815605e-47	0.928973566398463	0.997	0.986	8.72070221317354e-43	Cluster 1	ENSMODG00000009468
6.21537700144116e-29	0.926674373257513	0.997	0.995	1.79133380558536e-24	Cluster 1	ENSMODG00000017254
3.90616386122773e-31	0.924721914027387	0.965	0.959	1.12579548644445e-26	Cluster 1	ENSMODG00000010573
1.19066898459683e-20	0.9241734617416	0.548	0.278	3.43162708050652e-16	Cluster 1	ENSMODG00000017104
1.50071366528631e-17	0.921968204660972	1	0.998	4.32520685472167e-13	Cluster 1	ENSMODG00000002186
