ONTOLOGY,ID,Description,Count,GeneList,Bg,BgList,pvalue,p.adjust,qvalue,geneID
BP,GO:0002181,cytoplasmic translation,70,1096,119,11502,3.59E-41,2.29E-37,1.79E-37,RPLP0/RPL6/DENR/RPL18A/UBA52/RPS15/EEF2/RPL36/RPL8/RPL30/RPS20/RPL7/RPS2/RPS15A/RPS6/RPL32/RPS24/RPL4/RPL7A/RPL12/RPL35/RPS14/EIF5/RPS29/RPS21/RPS7/RPS27A/RPL13/RPL24/RPL21/RPS3/RPL11/RPL22/RPS16/RPS19/RPS5/RPL18/RPS8/RPL5/RPS12/RPL10A/RPL26/RPL38/RPL27/RPL19/RPL23A/RPSA/RPL14/RPL9/RPS3A/RPS13/RPL27A/RPLP2/RPL10/RPS26/EIF3K/RPS25/RPL31/RPL37A/RPL37/EIF4A1/ETF1/RPL3/RPS4X/EIF3H/EIF3M/EIF2S2/YBX3/RPS17/RPL29
BP,GO:0009611,response to wounding,98,1096,411,11502,2.64E-18,6.65E-15,5.20E-15,P2RX4/CNN2/PLEC/DSP/EDN1/SERPINB2/TNFRSF12A/GNAQ/TLN1/PDGFA/ACTB/LOX/B4GALT1/IL6ST/ITGA2/FGF10/RHOA/PRKCD/ARF4/WNT5A/PRKG1/PLAU/ENTPD1/ABHD2/ANXA2/TPM1/FGF7/COL5A1/MYL9/SPARC/PDGFRB/ZFP36L1/SDC4/THBD/TGFA/ZFP36L2/SERPINE2/CFLAR/SOD1/TFPI/FAP/HMGB1/ETS1/PAK1/MACF1/PDPN/AXL/TGFB1/APOE/BAX/PLPP3/CCN1/PLA2G4A/CSRP1/KCNK2/TNFAIP3/VEGFA/CDKN1A/CLIC1/SERPINE1/ACTG1/ITGB3/COL1A1/F3/RHOC/CRK/RTN4RL1/HSPB1/SCUBE1/TSPO/MYH9/ITGA5/LRP1/CD9/VWF/ITGB1/IL6/PDGFRA/SLC7A11/ANXA5/NRG1/ADM/CD44/HRAS/FLNA/TOR1A/ITGA9/VCL/NFE2L2/DGKH/MAP3K5/F10/TNC/INPP5F/RAC1/COMP/DTNBP1/MYOF
BP,GO:0048514,blood vessel morphogenesis,108,1096,478,11502,3.13E-18,6.65E-15,5.20E-15,C3/JUNB/YWHAZ/EDN1/GATA6/ROCK1/PTPRM/SMAD7/CCBE1/TNFRSF12A/PDGFA/LOX/B4GALT1/THBS4/FGF10/RHOA/WNT5A/ADAM12/CSPG4/UNC5B/ZMIZ1/ARHGAP22/CTSH/MFGE8/ANXA2/NIBAN2/SPARC/PDGFRB/TNFAIP2/ZFP36L1/CDH13/TGFA/ROCK2/EPAS1/ADGRG1/LOXL2/TIPARP/NRP2/KLF5/COL4A1/COL4A2/SAT1/AMOTL2/FAP/HMGB1/ETS1/HSPG2/TGFB1/APOE/RRAS/BAX/GADD45A/JAK1/JUN/TGFBR3/CCN1/DDAH1/PRRX1/PTGS2/TNFAIP3/VEGFA/SERPINE1/ACTG1/ITGB3/F3/ECM1/HSPB1/COL18A1/MYH9/NR4A1/ITGA5/LRP1/HMGA2/HGF/CALD1/ITGB1/IL6/ITGB8/TWIST1/RBPJ/PDGFRA/ADM/CREB3L1/RNH1/FLNA/EMILIN1/AKT1/PKD2/STARD13/STAT3/EMC10/PRDM1/ID1/NFE2L2/JUP/SARS1/VEZF1/ATP5F1B/ATP5IF1/HIPK1/COMP/TGFBI/PRKD1/CDH2/THBS2/RIN2/SULF1/ISM1
BP,GO:0042060,wound healing,83,1096,321,11502,6.69E-18,1.07E-14,8.34E-15,CNN2/PLEC/DSP/EDN1/SERPINB2/TNFRSF12A/GNAQ/TLN1/PDGFA/ACTB/LOX/B4GALT1/IL6ST/ITGA2/FGF10/RHOA/PRKCD/WNT5A/PRKG1/PLAU/ENTPD1/ANXA2/TPM1/COL5A1/MYL9/SPARC/PDGFRB/SDC4/THBD/TGFA/SERPINE2/CFLAR/TFPI/FAP/HMGB1/ETS1/PAK1/MACF1/PDPN/AXL/TGFB1/APOE/PLPP3/CCN1/PLA2G4A/CSRP1/TNFAIP3/VEGFA/CDKN1A/CLIC1/SERPINE1/ACTG1/ITGB3/COL1A1/F3/RHOC/CRK/HSPB1/SCUBE1/MYH9/ITGA5/CD9/VWF/ITGB1/IL6/PDGFRA/SLC7A11/ANXA5/NRG1/CD44/HRAS/FLNA/TOR1A/ITGA9/VCL/NFE2L2/DGKH/MAP3K5/F10/TNC/COMP/DTNBP1/MYOF
BP,GO:0001525,angiogenesis,91,1096,403,11502,1.76E-15,2.25E-12,1.76E-12,C3/YWHAZ/EDN1/GATA6/ROCK1/PTPRM/CCBE1/TNFRSF12A/PDGFA/B4GALT1/THBS4/FGF10/RHOA/WNT5A/ADAM12/CSPG4/UNC5B/ARHGAP22/CTSH/MFGE8/ANXA2/NIBAN2/SPARC/PDGFRB/TNFAIP2/CDH13/TGFA/ROCK2/EPAS1/ADGRG1/LOXL2/NRP2/KLF5/COL4A1/COL4A2/SAT1/AMOTL2/FAP/HMGB1/ETS1/HSPG2/RRAS/GADD45A/JAK1/JUN/CCN1/DDAH1/PTGS2/TNFAIP3/VEGFA/SERPINE1/ACTG1/ITGB3/F3/ECM1/HSPB1/COL18A1/MYH9/NR4A1/ITGA5/HMGA2/HGF/CALD1/ITGB1/IL6/ITGB8/TWIST1/RBPJ/PDGFRA/ADM/CREB3L1/RNH1/FLNA/EMILIN1/AKT1/STARD13/STAT3/EMC10/ID1/NFE2L2/JUP/SARS1/VEZF1/ATP5F1B/ATP5IF1/HIPK1/TGFBI/PRKD1/THBS2/SULF1/ISM1
BP,GO:0030335,positive regulation of cell migration,87,1096,406,11502,1.88E-13,1.75E-10,1.37E-10,P2RX4/CALR/ICAM1/EDN1/SNAI2/CCBE1/NR4A3/CREB3/PDGFA/THBS4/ITGA2/FGF10/RHOA/WNT5A/SELENOK/IQGAP1/PLAU/CEMIP/CTSH/IGF1R/DAPK2/RAB11A/FGF7/SPARC/PDGFRB/LGALS3/ARF6/SYNE2/CDH13/BMP2/ADAM9/ROCK2/RTN4/NRP2/TMSB4X/HMGB1/ETS1/PAK1/RDX/PDPN/ACTN4/TGFB1/RRAS/MYADM/PLPP3/CCN1/PTGS2/VEGFA/RACK1/SERPINE1/PFN1/ACTG1/ITGB3/COL1A1/F3/RHOC/S100A11/CRK/MYO1C/HSPB1/TWIST2/LRP1/HGF/RARRES2/ITGB1/IL6/PDGFRA/RRAS2/HRAS/FLNA/SPAG9/AKT1/STAT3/EMC10/NFE2L2/MAP2K3/DOCK7/F10/ATP5F1A/CARMIL1/DOCK1/RAC1/ATP5F1B/CSF1/PRKD1/HSPA5/RIN2
BP,GO:2000147,positive regulation of cell motility,89,1096,420,11502,1.92E-13,1.75E-10,1.37E-10,P2RX4/CALR/ICAM1/EDN1/SNAI2/CCBE1/NR4A3/CREB3/PDGFA/THBS4/ITGA2/FGF10/RHOA/WNT5A/SELENOK/IQGAP1/PLAU/CEMIP/CTSH/IGF1R/DAPK2/RAB11A/FGF7/SPARC/PDGFRB/LGALS3/ARF6/SYNE2/CDH13/BMP2/ADAM9/ROCK2/RTN4/NRP2/TMSB4X/HMGB1/ETS1/PAK1/RDX/PDPN/ACTN4/TGFB1/RRAS/MYADM/PLPP3/CCN1/PTGS2/VEGFA/RACK1/SERPINE1/PFN1/ACTG1/ITGB3/COL1A1/CAVIN1/F3/RHOC/S100A11/CRK/MYO1C/HSPB1/TWIST2/LRP1/HGF/RARRES2/ITGB1/IL6/TWIST1/PDGFRA/RRAS2/HRAS/FLNA/SPAG9/AKT1/STAT3/EMC10/NFE2L2/MAP2K3/DOCK7/F10/ATP5F1A/CARMIL1/DOCK1/RAC1/ATP5F1B/CSF1/PRKD1/HSPA5/RIN2
BP,GO:0051272,positive regulation of cellular component movement,90,1096,429,11502,2.57E-13,2.05E-10,1.60E-10,P2RX4/CALR/ICAM1/EDN1/SNAI2/CCBE1/NR4A3/CREB3/PDGFA/THBS4/ITGA2/FGF10/RHOA/WNT5A/SELENOK/IQGAP1/PLAU/CEMIP/CTSH/IGF1R/DAPK2/RAB11A/FGF7/SPARC/PDGFRB/LGALS3/ARF6/SYNE2/CDH13/BMP2/ADAM9/ROCK2/RTN4/NRP2/TMSB4X/HMGB1/ETS1/PAK1/RDX/PDPN/ACTN4/TGFB1/RPS19/RRAS/MYADM/PLPP3/CCN1/PTGS2/VEGFA/RACK1/SERPINE1/PFN1/ACTG1/ITGB3/COL1A1/CAVIN1/F3/RHOC/S100A11/CRK/MYO1C/HSPB1/TWIST2/LRP1/HGF/RARRES2/ITGB1/IL6/TWIST1/PDGFRA/RRAS2/HRAS/FLNA/SPAG9/AKT1/STAT3/EMC10/NFE2L2/MAP2K3/DOCK7/F10/ATP5F1A/CARMIL1/DOCK1/RAC1/ATP5F1B/CSF1/PRKD1/HSPA5/RIN2
BP,GO:0040017,positive regulation of locomotion,89,1096,432,11502,1.04E-12,7.35E-10,5.75E-10,P2RX4/CALR/ICAM1/EDN1/SNAI2/CCBE1/NR4A3/CREB3/PDGFA/THBS4/ITGA2/FGF10/RHOA/WNT5A/SELENOK/IQGAP1/PLAU/CEMIP/CTSH/IGF1R/DAPK2/RAB11A/FGF7/SPARC/PDGFRB/LGALS3/ARF6/SYNE2/CDH13/BMP2/ADAM9/ROCK2/RTN4/NRP2/TMSB4X/HMGB1/ETS1/PAK1/RDX/PDPN/ACTN4/TGFB1/RRAS/MYADM/PLPP3/CCN1/PTGS2/VEGFA/RACK1/SERPINE1/PFN1/ACTG1/ITGB3/COL1A1/CAVIN1/F3/RHOC/S100A11/CRK/MYO1C/HSPB1/TWIST2/LRP1/HGF/RARRES2/ITGB1/IL6/TWIST1/PDGFRA/RRAS2/HRAS/FLNA/SPAG9/AKT1/STAT3/EMC10/NFE2L2/MAP2K3/DOCK7/F10/ATP5F1A/CARMIL1/DOCK1/RAC1/ATP5F1B/CSF1/PRKD1/HSPA5/RIN2
BP,GO:0010631,epithelial cell migration,59,1096,237,11502,2.66E-12,1.69E-09,1.33E-09,CORO1C/P2RX4/CALR/EDN1/ROCK1/PTPRM/CCBE1/ITGA2/FGF10/RHOA/WNT5A/CTSH/RAB11A/FGF7/SPARC/ARF6/CDH13/ADAM9/ROCK2/RTN4/LOXL2/NRP2/TMSB4X/ZEB2/FAP/HMGB1/ETS1/MACF1/TGFB1/APOE/RRAS/GADD45A/PLPP3/PTGS2/VEGFA/CSNK2B/PFN1/ITGB3/HSPB1/MYH9/NR4A1/ITGB1/AKT1/STARD13/EMC10/ADIPOR1/ID1/KANK2/NFE2L2/MAP2K3/PTPN11/JUP/ATP5F1A/DOCK1/FSTL1/RAC1/ATP5F1B/PRKD1/RIN2
