ONTOLOGY,ID,Description,Count,GeneList,Bg,BgList,pvalue,p.adjust,qvalue,geneID
BP,GO:0043087,regulation of GTPase activity,55,1181,272,11502,5.84E-07,0.003528016,0.003388045,EVI5L/PTK2/ASAP1/MAPRE2/ARFGEF1/EFNA5/IQGAP2/FGD3/FGD5/TBC1D12/GPSM1/VAV2/TSC1/DAB2IP/RALGAPA1/RGS6/ASAP2/RALGAPA2/EPHA4/DOCK9/RASA3/LIMS1/MAP4K4/EPHA3/CDKL5/ARHGAP6/TIAM1/CHN1/ITGA6/PKP4/LRCH1/DENND1B/TIAM2/TBC1D16/SIPA1L2/NF1/FGD4/USP6NL/RAPGEF2/ARHGAP24/EZH2/GAPVD1/ARHGEF7/SPRY2/AFDN/ARHGEF10/WNK1/RAB3GAP2/EPHA5/RAPGEF6/RABGAP1L/TBCK/RRP1B/PLXND1/BCAS3
BP,GO:0048667,cell morphogenesis involved in neuron differentiation,78,1181,445,11502,1.33E-06,0.004024288,0.003864628,PTK2/PREX2/BCL2/SEMA5A/EEF2K/SEMA6A/PTCH1/EFNA5/MEF2C/MAP1B/EMB/SLC1A3/PTPRD/NFIB/COBL/ANK3/NEO1/NPTN/SHTN1/FGFR2/NEDD4/UNC5A/BMP7/CAMK2B/BTBD3/WDPCP/CDH11/EPHA4/FN1/MAP2/ABI2/ROBO2/ROBO1/EPHA3/CDKL5/ANOS1/TIAM1/ALCAM/GLI2/HECW2/CHN1/DCLK1/ATP8A2/NCAM1/RERE/DNM3/TNN/TIAM2/EPHA7/TBCD/NPTX1/TANC2/RBFOX2/ZDHHC17/SEMA3D/SEMA3A/PTPRZ1/PTN/PARD3/SLIT2/RAPGEF2/HPRT1/APP/PTPRS/SPAST/BMPR2/SEMA3E/STXBP1/C9orf72/ARHGAP35/TOP2B/MINK1/BOC/SIAH1/EPHA5/PTEN/UNC5C/PLXND1
BP,GO:0048863,stem cell differentiation,36,1181,161,11502,4.96E-06,0.006397512,0.006143698,JARID2/SEMA5A/NSUN2/SEMA6A/MLLT3/MEF2C/SETD2/FGFR2/CHD2/ANXA6/BMP7/SOX11/JAG1/FN1/ERBB4/ACVR1/PUM1/MEOX1/MSI2/ALX1/PRICKLE1/LRP6/SOX5/SEMA3D/SEMA3A/PTN/OCIAD1/MTF2/A2M/SEMA3E/YAP1/PRKDC/ITCH/BMPR1A/EDNRA/FAM172A
BP,GO:0060485,mesenchyme development,46,1181,229,11502,5.83E-06,0.006397512,0.006143698,SDCBP/BCL2/SEMA5A/SMAD2/SEMA6A/MEF2C/IL17RD/PDCD4/TCF7L2/FGFR2/SMAD3/DAB2IP/ANXA6/TGFB3/BMP7/SOX11/JAG1/FGFR1/SPRED2/WWTR1/FN1/ERBB4/ROBO2/ROBO1/EPHA3/TIAM1/CLASP1/EPB41L5/ACVR1/BMP5/MEOX1/DDX17/ALX1/LRP6/SEMA3D/SEMA3A/EZH2/DCHS1/BMPR2/SEMA3E/SPRY2/YAP1/BMPR1A/EDNRA/PTEN/FAM172A
BP,GO:0048762,mesenchymal cell differentiation,40,1181,189,11502,6.35E-06,0.006397512,0.006143698,SDCBP/BCL2/SEMA5A/SMAD2/SEMA6A/MEF2C/IL17RD/PDCD4/TCF7L2/FGFR2/SMAD3/DAB2IP/ANXA6/TGFB3/BMP7/SOX11/JAG1/FGFR1/SPRED2/WWTR1/FN1/ERBB4/EPHA3/TIAM1/CLASP1/EPB41L5/ACVR1/BMP5/DDX17/ALX1/LRP6/SEMA3D/SEMA3A/EZH2/SEMA3E/SPRY2/BMPR1A/EDNRA/PTEN/FAM172A
BP,GO:0009880,embryonic pattern specification,17,1181,52,11502,9.33E-06,0.008054597,0.007735039,SMAD2/PTCH1/COBL/FGFR2/SMAD3/BMP7/MEIS1/ERBB4/EPB41L5/SATB2/MEOX1/SEMA3A/MEOX2/HOXD8/SMAD5/C2CD3/FRS2
BP,GO:0071559,response to transforming growth factor beta,40,1181,196,11502,1.58E-05,0.011954923,0.011480624,PTK2/SDCBP/SMAD2/MEF2C/IL17RD/FGFR2/HTRA1/CILP/SMAD3/ADAMTSL2/FUT8/TGFB3/PMEPA1/LTBP1/SOX11/SPRED2/WWOX/ZFHX3/LIMS1/EPB41L5/COL3A1/ACVR1/NOX4/POSTN/TRIM33/PDE3A/SOX5/HIPK2/COL1A2/SNX25/USP15/SPRY2/YES1/TWSG1/BMPR1A/SMAD5/PDGFD/ZFYVE9/CREBBP/CD109
BP,GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,79,1181,485,11502,1.93E-05,0.012012309,0.011535733,PIK3R2/PTK2/TMEM204/ROR2/BAIAP2L1/SEMA6A/EFNA5/SMARCC1/IGFBP3/PTPRG/NPTN/FGFR2/PLEKHA1/SORBS1/BLNK/CILP/NEDD4/VAV2/MMP2/DAB2IP/FGF1/SPRY4/PGF/PLCB1/MERTK/SLC39A14/FGFR1/CCDC88A/RHOQ/EPHA4/ERBB4/NCK2/ROBO1/EPHA3/REPS2/TIAM1/UBASH3B/CHN1/GALNT3/FLT1/SHISA2/SESN3/GAB2/DDR2/ANGPTL1/SMOC2/IGF2R/ENPP1/WASF1/EPHA7/BMP5/SORT1/LRIG2/ZDHHC17/TSPAN12/FBXW7/PDGFC/RAPGEF2/TNMD/AP3S1/ARHGEF7/IRS2/MYO1E/SPRY2/YES1/ARNT/SAMD10/MBD5/PDGFD/MAPK14/EPHA5/PTEN/JAK2/ANKS1A/FRS2/GFRA1/FER/MVB12B/OGT
BP,GO:0071560,cellular response to transforming growth factor beta stimulus,39,1181,191,11502,1.99E-05,0.012012309,0.011535733,PTK2/SDCBP/SMAD2/MEF2C/IL17RD/FGFR2/HTRA1/CILP/SMAD3/ADAMTSL2/FUT8/TGFB3/PMEPA1/LTBP1/SOX11/SPRED2/WWOX/LIMS1/EPB41L5/COL3A1/ACVR1/NOX4/POSTN/TRIM33/PDE3A/SOX5/HIPK2/COL1A2/SNX25/USP15/SPRY2/YES1/TWSG1/BMPR1A/SMAD5/PDGFD/ZFYVE9/CREBBP/CD109
BP,GO:0072073,kidney epithelium development,26,1181,109,11502,3.09E-05,0.014179902,0.013617329,EYA1/BCL2/ADAMTS16/SMAD2/PTCH1/MEF2C/BMPER/FGFR2/SMAD3/FGF1/KLHL3/BMP7/JAG1/WWTR1/EPHA4/ROBO2/EPHA7/TFAP2B/PROM1/SLIT2/LGR4/HOXD11/DCHS1/MYO1E/YAP1/SMAD5
